image,attack,method,bit_accuracy,message_success,psnr_watermarked,psnr_attacked,best_scale
000000319617.png,random_crop_0.5,single_scale,0.500000,0,9.8478,8.0650,1.0
000000319617.png,random_crop_0.5,multi_scale,0.593750,0,9.8478,8.0650,0.50
000000319617.png,jpeg_q30,single_scale,1.000000,1,9.8478,12.9235,1.0
000000319617.png,jpeg_q30,multi_scale,1.000000,1,9.8478,12.9235,1.00
000000322895.png,none,single_scale,1.000000,1,10.0660,10.0660,1.0
000000322895.png,none,multi_scale,1.000000,1,10.0660,10.0660,1.00
000000322895.png,center_crop_0.5,single_scale,0.500000,0,10.0660,7.3762,1.0
000000322895.png,center_crop_0.5,multi_scale,1.000000,1,10.0660,7.3762,0.50
000000322895.png,center_crop_0.75,single_scale,0.531250,0,10.0660,8.4919,1.0
000000322895.png,center_crop_0.75,multi_scale,1.000000,1,10.0660,8.4919,0.75
000000322895.png,random_crop_0.5,single_scale,0.562500,0,10.0660,7.6526,1.0
000000322895.png,random_crop_0.5,multi_scale,0.750000,0,10.0660,7.6526,0.50
000000322895.png,jpeg_q30,single_scale,1.000000,1,10.0660,12.9820,1.0
000000322895.png,jpeg_q30,multi_scale,1.000000,1,10.0660,12.9820,1.00
000000326128.png,none,single_scale,1.000000,1,10.2236,10.2236,1.0
000000326128.png,none,multi_scale,1.000000,1,10.2236,10.2236,1.00
000000326128.png,center_crop_0.5,single_scale,0.500000,0,10.2236,6.4802,1.0
000000326128.png,center_crop_0.5,multi_scale,1.000000,1,10.2236,6.4802,0.50
000000326128.png,center_crop_0.75,single_scale,0.531250,0,10.2236,7.7230,1.0
000000326128.png,center_crop_0.75,multi_scale,1.000000,1,10.2236,7.7230,0.75
000000326128.png,random_crop_0.5,single_scale,0.437500,0,10.2236,7.0530,1.0
000000326128.png,random_crop_0.5,multi_scale,0.750000,0,10.2236,7.0530,0.50
000000326128.png,jpeg_q30,single_scale,1.000000,1,10.2236,12.9467,1.0
000000326128.png,jpeg_q30,multi_scale,1.000000,1,10.2236,12.9467,1.00
000000341681.png,none,single_scale,1.000000,1,9.5006,9.5006,1.0
000000341681.png,none,multi_scale,1.000000,1,9.5006,9.5006,1.00
000000341681.png,center_crop_0.5,single_scale,0.500000,0,9.5006,7.0591,1.0
000000341681.png,center_crop_0.5,multi_scale,1.000000,1,9.5006,7.0591,0.50
000000341681.png,center_crop_0.75,single_scale,0.531250,0,9.5006,8.0564,1.0
000000341681.png,center_crop_0.75,multi_scale,1.000000,1,9.5006,8.0564,0.75
000000341681.png,random_crop_0.5,single_scale,0.468750,0,9.5006,7.0482,1.0
000000341681.png,random_crop_0.5,multi_scale,0.718750,0,9.5006,7.0482,0.50
000000341681.png,jpeg_q30,single_scale,1.000000,1,9.5006,12.8318,1.0
000000341681.png,jpeg_q30,multi_scale,1.000000,1,9.5006,12.8318,1.00
000000358427.png,none,single_scale,1.000000,1,10.2963,10.2963,1.0
000000358427.png,none,multi_scale,1.000000,1,10.2963,10.2963,1.00
000000358427.png,center_crop_0.5,single_scale,0.500000,0,10.2963,7.7397,1.0
000000358427.png,center_crop_0.5,multi_scale,1.000000,1,10.2963,7.7397,0.50
000000358427.png,center_crop_0.75,single_scale,0.500000,0,10.2963,8.8467,1.0
