image,attack,method,bit_accuracy,message_success
000000508730.png,rotate_45_crop_50,fourier,0.500000,0
000000517056.png,none,fourier,1.000000,1
000000517056.png,rotate_17,fourier,0.500000,0
000000517056.png,rotate_23,fourier,0.500000,0
000000517056.png,rotate_38,fourier,0.500000,0
000000517056.png,rotate_52,fourier,0.500000,0
000000517056.png,rotate_73,fourier,0.406250,0
000000517056.png,rotate_90,fourier,0.406250,0
000000517056.png,rotate_137,fourier,0.500000,0
000000517056.png,rotate_180,fourier,1.000000,1
000000517056.png,flip_h,fourier,0.687500,0
000000517056.png,flip_v,fourier,0.562500,0
000000517056.png,rotate_45_crop_50,fourier,0.468750,0
000000517687.png,none,fourier,1.000000,1
000000517687.png,rotate_17,fourier,0.500000,0
000000517687.png,rotate_23,fourier,0.500000,0
000000517687.png,rotate_38,fourier,0.500000,0
000000517687.png,rotate_52,fourier,0.500000,0
000000517687.png,rotate_73,fourier,0.406250,0
000000517687.png,rotate_90,fourier,0.406250,0
000000517687.png,rotate_137,fourier,0.500000,0
000000517687.png,rotate_180,fourier,1.000000,1
000000517687.png,flip_h,fourier,0.593750,0
000000517687.png,flip_v,fourier,0.500000,0
000000517687.png,rotate_45_crop_50,fourier,0.468750,0
000000523957.png,none,fourier,1.000000,1
000000523957.png,rotate_17,fourier,0.500000,0
000000523957.png,rotate_23,fourier,0.500000,0
000000523957.png,rotate_38,fourier,0.500000,0
000000523957.png,rotate_52,fourier,0.406250,0
000000523957.png,rotate_73,fourier,0.406250,0
000000523957.png,rotate_90,fourier,0.406250,0
000000523957.png,rotate_137,fourier,0.500000,0
000000523957.png,rotate_180,fourier,1.000000,1
000000523957.png,flip_h,fourier,0.656250,0
000000523957.png,flip_v,fourier,0.531250,0
000000523957.png,rotate_45_crop_50,fourier,0.468750,0
000000533145.png,none,fourier,1.000000,1
000000533145.png,rotate_17,fourier,0.500000,0
000000533145.png,rotate_23,fourier,0.500000,0
000000533145.png,rotate_38,fourier,0.500000,0
000000533145.png,rotate_52,fourier,0.406250,0
000000533145.png,rotate_73,fourier,0.437500,0
000000533145.png,rotate_90,fourier,0.437500,0
000000533145.png,rotate_137,fourier,0.500000,0
000000533145.png,rotate_180,fourier,1.000000,1
000000533145.png,flip_h,fourier,0.750000,0
000000533145.png,flip_v,fourier,0.531250,0
000000533145.png,rotate_45_crop_50,fourier,0.406250,0
000000562243.png,none,fourier,1.000000,1
000000562243.png,rotate_17,fourier,0.500000,0
000000562243.png,rotate_23,fourier,0.500000,0
000000562243.png,rotate_38,fourier,0.500000,0
000000562243.png,rotate_52,fourier,0.406250,0
000000562243.png,rotate_73,fourier,0.406250,0
000000562243.png,rotate_90,fourier,0.406250,0
000000562243.png,rotate_137,fourier,0.500000,0
000000562243.png,rotate_180,fourier,1.000000,1
000000562243.png,flip_h,fourier,0.656250,0
000000562243.png,flip_v,fourier,0.500000,0
000000562243.png,rotate_45_crop_50,fourier,0.500000,0
000000563470.png,none,fourier,1.000000,1
000000563470.png,rotate_17,fourier,0.531250,0
000000563470.png,rotate_23,fourier,0.500000,0
000000563470.png,rotate_38,fourier,0.500000,0
000000563470.png,rotate_52,fourier,0.500000,0
000000563470.png,rotate_73,fourier,0.406250,0
000000563470.png,rotate_90,fourier,0.406250,0
000000563470.png,rotate_137,fourier,0.500000,0
000000563470.png,rotate_180,fourier,1.000000,1
000000563470.png,flip_h,fourier,0.625000,0
000000563470.png,flip_v,fourier,0.531250,0
000000563470.png,rotate_45_crop_50,fourier,0.437500,0
000000573258.png,none,fourier,1.000000,1
