image,attack,method,bit_accuracy,message_success,psnr_watermarked,psnr_attacked,best_scale
000000232692.png,center_crop_0.5,single_scale,0.500000,0,10.2564,6.2642,1.0
000000232692.png,center_crop_0.5,multi_scale,1.000000,1,10.2564,6.2642,0.50
000000232692.png,center_crop_0.75,single_scale,0.531250,0,10.2564,7.9537,1.0
000000232692.png,center_crop_0.75,multi_scale,1.000000,1,10.2564,7.9537,0.75
000000232692.png,random_crop_0.5,single_scale,0.437500,0,10.2564,7.4437,1.0
000000232692.png,random_crop_0.5,multi_scale,0.718750,0,10.2564,7.4437,0.50
000000232692.png,jpeg_q30,single_scale,1.000000,1,10.2564,12.8687,1.0
000000232692.png,jpeg_q30,multi_scale,1.000000,1,10.2564,12.8687,1.00
000000233033.png,none,single_scale,1.000000,1,10.2091,10.2091,1.0
000000233033.png,none,multi_scale,1.000000,1,10.2091,10.2091,1.00
000000233033.png,center_crop_0.5,single_scale,0.500000,0,10.2091,6.7206,1.0
000000233033.png,center_crop_0.5,multi_scale,1.000000,1,10.2091,6.7206,0.50
000000233033.png,center_crop_0.75,single_scale,0.500000,0,10.2091,7.8887,1.0
000000233033.png,center_crop_0.75,multi_scale,1.000000,1,10.2091,7.8887,0.75
000000233033.png,random_crop_0.5,single_scale,0.500000,0,10.2091,6.6673,1.0
000000233033.png,random_crop_0.5,multi_scale,0.718750,0,10.2091,6.6673,0.50
000000233033.png,jpeg_q30,single_scale,1.000000,1,10.2091,12.9766,1.0
000000233033.png,jpeg_q30,multi_scale,1.000000,1,10.2091,12.9766,1.00
000000233139.png,none,single_scale,1.000000,1,10.4603,10.4603,1.0
000000233139.png,none,multi_scale,1.000000,1,10.4603,10.4603,1.00
000000233139.png,center_crop_0.5,single_scale,0.500000,0,10.4603,7.6225,1.0
000000233139.png,center_crop_0.5,multi_scale,1.000000,1,10.4603,7.6225,0.50
000000233139.png,center_crop_0.75,single_scale,0.531250,0,10.4603,8.5728,1.0
000000233139.png,center_crop_0.75,multi_scale,1.000000,1,10.4603,8.5728,0.75
